id	terminologyId
10033502	351000210106
10033505	421000210109
10033506	101000210108
10033507	391000210104
10033526	141000210106
10033544	56421000052109
10033548	723264001
100713955	51000146100
100713956	98051000146103
100713957	98011000146102
100713958	52801000146101
100713959	117731000146100
100713960	117721000146102
100713961	98021000146107
100713962	98031000146109
100713963	140741000146104
100713964	2581000146104
100713965	145871000146106
100713966	110891000146105
100713967	99051000146107
100713968	110881000146108
100713969	110861000146100
100713970	110911000146108
100713971	110901000146106
100713972	110871000146106
100713973	140991000146106
100713974	140961000146101
100713975	140981000146109
100713976	140971000146107
100713977	11721000146100
100713978	146481000146103
100713979	98041000146101
100713980	41000146103
100713981	231000146105
100713982	8721000146106
100713983	110851000146103
100713984	55451000146109
100713985	2551000146109
100713986	140301000146101
100713987	210051000146105
100713988	210041000146107
100713989	98061000146100
100713990	97801000146108
100713991	46231000146109
100713992	117701000146105
100713993	117711000146107
10174404	TMP-hmj5ah
10174408	TMP-neo7m9
10174421	321000210102
101859103	61231000210108
101859104	351000210106
101859105	72671000210109
101859106	421000210109
101859107	61241000210100
101859108	91000210107
101859109	61251000210102
101859110	191000210102
101859111	241000210102
101859112	471000210108
101859113	61271000210105
101859114	61281000210107
101859115	61291000210109
101859116	261000210101
101859117	61261000210104
101859118	61000210102
101859119	71000210108
101859120	321000210102
101859121	141000210106
101859122	181000210104
101859123	131000210103
101859124	101000210108
101859125	451000210100
101859127	501000210102
101859128	72621000210105
101859129	72631000210107
101859130	72601000210102
101859131	72611000210100
101859132	72661000210103
101859133	72591000210107
101859134	72581000210105
101859135	72571000210108
101859136	72541000210103
101859137	72551000210100
101859138	72531000210106
101859139	72521000210109
101859140	72511000210104
101859141	72501000210101
101859142	72561000210102
101859143	72641000210104
101859144	391000210104
101859145	50931000210104
101859146	72691000210108
101859147	72681000210106
101859148	251000210104
101859149	50941000210107
101859150	192081000210101
101859151	121531000210107
101859152	192071000210103
102083553	121000210100
102083554	121521000210105
102083555	481000210105
102083556	72731000210103
102083557	72741000210106
102083558	441000210103
102083559	192091000210104
102083560	72721000210100
102083561	72651000210101
102348704	51000210100
102411555	461000210102
102487256	74921000220101
102487258	821000220101
102487259	811000220108
102487262	841000220107
102487264	831000220103
102487265	84731000220109
102487266	1541000220106
102487269	61671000220102
102487270	1551000220108
102487271	1561000220105
102936453	997321000189101
102936454	997331000189104
102936455	997341000189105
103139803	1531000220102
103161916	74931000220103
103161917	61681000220104
103161918	73041000220108
103316654	1000391000202108
103316656	125321000220105
103316657	125061000220102
104010253	816080008
104010256	561000172108
104010257	541000172109
104010258	551000172106
104010259	50841000172109
104010260	50851000172106
104010261	50861000172108
104010262	50831000172102
104010263	40811000172108
104807604	1119410008
104807606	1119410008
105121703	721000172106
105121704	721144007
105121705	721145008
105121706	5601000003101
105121707	5871000003109
105121708	450970008
105121711	1157358007
105388608	59771000052109
105388609	62161000052101
105388610	62181000052107
105388611	62151000052104
105388612	59901000052102
105388613	56421000052109
105388614	64641000052102
105388615	59781000052106
105388616	59811000052109
105388617	59831000052104
105388618	64511000052102
105388619	53351000052100
105388620	53361000052102
105388621	60391000052106
105388622	62201000052106
105388623	66831000052100
105388624	68591000052102
105388625	59761000052100
105388626	60041000052102
105388628	113471000052100
105388629	59841000052105
105388630	59871000052102
105388631	58181000052100
105388632	63421000052107
105388633	60401000052109
105388634	60411000052106
105388635	60421000052103
105388636	67031000052107
105388637	46051000052106
105388638	59821000052101
105388639	62171000052105
105388640	56431000052106
105388641	62191000052109
105388642	53371000052106
105388643	53381000052108
105388644	60661000052106
105388645	59851000052108
105388646	68661000052109
105388647	67081000052106
105388648	67051000052103
105388649	67071000052109
105388650	60381000052109
105388651	103491000052103
105388652	59881000052100
105759303	60001000052100
105759304	59861000052106
105759305	60691000052103
105759306	53611000052108
105759307	68581000052104
105759308	73171000052105
105759309	500201000057102
105759310	63181000052104
105759311	500111000057108
105759312	500091000057101
105759313	500101000057105
105759314	500061000057107
105759315	500081000057104
105759316	500041000057108
105759317	500071000057102
105759318	500121000057102
105759319	500051000057105
105759320	500221000057105
