rtt_project_id	refset_sctid	project_name	project_desc
2153	253711000210105	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253721000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253731000210103	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253741000210106	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253751000210109	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253761000210107	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253771000210101	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253781000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253791000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253801000210103	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253811000210101	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253821000210106	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253831000210108	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253841000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253851000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253861000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	253871000210105	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	261000210101	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263301000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263311000210103	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263321000210108	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263331000210105	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263341000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263351000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263361000210101	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263511000210105	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	263581000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	321000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	351000210106	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	391000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	421000210109	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	441000210103	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	451000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	461000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	471000210108	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	481000210105	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	501000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	50931000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	50941000210107	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	51000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	61000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	61231000210108	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	61241000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	61251000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	61261000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	61271000210105	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	61281000210107	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	61291000210109	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	71000210108	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72501000210101	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72511000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72521000210109	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72531000210106	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72541000210103	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72551000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72561000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72571000210108	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72581000210105	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72591000210107	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72601000210102	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72611000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72621000210105	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72631000210107	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72641000210104	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72651000210101	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72661000210103	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72671000210109	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72681000210106	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72691000210108	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72721000210100	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72731000210103	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	72741000210106	New Zealand Refset Project	New Project linked to MS Authoring Platform
2153	91000210107	New Zealand Refset Project	New Project linked to MS Authoring Platform
2453	1281000245109	Training project	To be deleted
2705	40811000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50831000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50841000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50851000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50861000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	721000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2957	683861000189108	Patient Instructions Extension	Patient Friendly Terms Extension
301	1001000189107	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1011000189109	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1021000189101	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1031000189104	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1041000189105	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1051000189108	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1061000189106	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1071000189102	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1081000189100	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1091000189103	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1101000189108	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1111000189105	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1131000189100	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1141000189106	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1151000189109	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1161000189107	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1171000189103	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1181000189101	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1191000189104	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1201000189102	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1211000189100	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1221000189108	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1231000189105	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1241000189104	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1251000189101	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1261000189103	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1271000189107	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1281000189109	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1291000189106	NRCeS Project	Project for NRCeS, C-DAC Pune in India
301	1301000189105	NRCeS Project	Project for NRCeS, C-DAC Pune in India
303	101000210108	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	121000210100	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	131000210103	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	141000210106	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	181000210104	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	191000210102	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	241000210102	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	251000210104	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	261000210101	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	321000210102	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	351000210106	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	391000210104	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	421000210109	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	441000210103	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	451000210100	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	461000210102	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	471000210108	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	481000210105	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	491000210107	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	501000210102	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	51000210100	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	61000210102	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	71000210108	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	81000210105	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
303	91000210107	NZ Project	(ARCHIVED) Replaced by New Zealand refset Project which is linked to MS AP
3153	997321000189101	Ayurveda SCT Project	Translation project to grossly cover cover Anatomy, findings, disorders, etc in Ayurveda
3203	672381000189106	SNOMED CT Value Set	SNOMED CT value set covering MDDS patient demographics code directories
3558	125061000220102	Irish Refset Project	Irish Refset Project
3558	125321000220105	Irish Refset Project	Irish Refset Project
3558	1531000220102	Irish Refset Project	Irish Refset Project
3558	1541000220106	Irish Refset Project	Irish Refset Project
3558	1551000220108	Irish Refset Project	Irish Refset Project
3558	155351000220103	Irish Refset Project	Irish Refset Project
3558	1561000220105	Irish Refset Project	Irish Refset Project
3558	41661000220104	Irish Refset Project	Irish Refset Project
3558	61671000220102	Irish Refset Project	Irish Refset Project
3558	61681000220104	Irish Refset Project	Irish Refset Project
3558	73041000220108	Irish Refset Project	Irish Refset Project
3558	74921000220101	Irish Refset Project	Irish Refset Project
3558	74931000220103	Irish Refset Project	Irish Refset Project
3558	811000220108	Irish Refset Project	Irish Refset Project
3558	821000220101	Irish Refset Project	Irish Refset Project
3558	831000220103	Irish Refset Project	Irish Refset Project
3558	841000220107	Irish Refset Project	Irish Refset Project
3558	84731000220109	Irish Refset Project	Irish Refset Project
3954	997341000189105	Unani SCT Project	Translation project covering gross body organs, findings and disorders
3955	997331000189104	Siddha SCT Project	It is an translation project covering gross body structures, required qualifiers, substances, etc.
4105	1000001000202102	Test - språk fastlege	Test av kontekstspesifikt språkrefset for fastleger
4105	47351000202107	Test - språk fastlege	Test av kontekstspesifikt språkrefset for fastleger
52	456847345	WCI test BROWSER project	test BROWSER project
5353	1234567789	IST Testing	A project for testing by the Implementation Support Team
6703	110851000146103	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	110861000146100	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	110871000146106	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	110881000146108	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	110891000146105	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	110901000146106	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	110911000146108	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	11721000146100	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	117701000146105	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	117711000146107	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	117721000146102	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	117731000146100	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	140301000146101	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	140741000146104	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	140961000146101	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	140971000146107	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	140981000146109	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	140991000146106	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	145871000146106	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	146481000146103	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	210041000146107	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	210051000146105	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	231000146105	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	2551000146109	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	2581000146104	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	260131000146101	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	260181000146102	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	41000146103	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	42931000146101	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	46231000146109	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	51000146100	Netherlands Refset Project	Main Refset Project for Dutch NRC
6703	52801000146101	Netherlands Refset Project	Main Refset Project for Dutch NRC
